0-60 (s),1/4 Mile ET (s),Trap Speed (mph),Top Speed (mph),Lateral G @ 120 mph,100-0 Braking (ft),Drive Type Encoded,Weight (lb),60-130 (s),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error,Car
3.4,11.1,132.0,209.0,1.3,252.5,0.0,3186.0,7.4,91.412,92.921524,1.5095240478515564,1.5095240478515564,2011 Porsche 911 GT2 RS 997.2
2.8,10.7,136.0,204.0,1.28,251.0,0.0,3101.0,6.9,91.094,92.60078,1.5067766723632872,1.5067766723632872,2019 McLaren 600LT
6.2,13.9,103.0,143.0,0.93,327.3,0.0,3889.0,19.0,109.458,110.96345,1.5054475708007828,1.5054475708007828,1970 Buick Skylark GSX Stage 1
3.7,11.6,129.0,184.0,1.13,,0.0,2900.0,7.9,98.406,96.91733,-1.488672119140631,1.488672119140631,2014 Toyota FT-1 Concept
4.2,12.4,118.0,197.0,1.01,285.0,0.0,4005.0,10.3,99.926,101.41419,1.4881921997070293,1.4881921997070293,2012 Jaguar XKR-S Coupe
3.6,11.7,127.0,206.0,1.21,260.4,0.0,3429.0,7.0,96.963,95.52618,-1.436823547363275,1.436823547363275,2005 Ford GT
4.5,13.1,111.0,186.0,0.97,317.9,0.0,4260.0,13.3,103.82300000000001,105.25506,1.4320582885742112,1.4320582885742112,2013 Maserati GranTurismo Sport
7.1,15.1,95.0,155.0,1.12,277.9,0.0,2954.0,21.2,108.205,106.78071,-1.424291687011717,1.424291687011717,1990 Mercedes-Benz 190E 2.5-16 Evo II
2.3,9.8,139.0,211.0,1.08,239.2,0.0,4279.0,6.9,99.025,97.607796,-1.4172042846679744,1.4172042846679744,2018 Dodge Demon
3.8,12.2,116.0,173.0,1.1,255.0,0.0,2593.0,12.0,99.99000000000001,98.609314,-1.380686035156259,1.380686035156259,2013 Lotus Exige S S3
3.1,11.0,127.0,192.0,1.58,237.5,0.0,3228.0,8.6,89.919,91.26978,1.3507830200195343,1.3507830200195343,2024 Porsche 911 GT3 RS 992
3.5,11.6,127.0,204.0,1.14,238.2,0.0,3455.0,8.3,97.922,96.572525,-1.3494749755859345,1.3494749755859345,2008 Dodge Viper SRT-10
4.0,12.1,115.0,189.0,1.09,278.1,0.0,3762.0,12.2,102.619,101.31613,-1.3028684082031248,1.3028684082031248,2016 Cadillac ATS-V Coupe
