0-60 (s),1/4 Mile ET (s),Trap Speed (mph),Top Speed (mph),Lateral G @ 120 mph,100-0 Braking (ft),Drive Type Encoded,Weight (lb),60-130 (s),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error,Car
2.2,9.8,145.0,251.0,1.44,238.0,2.0,3633.0,5.6,87.724,88.260185,0.536185241699215,0.536185241699215,2015 Porsche 918 Spyder
2.8,9.7,149.0,216.0,1.5,219.2,0.0,1988.0,4.8,87.806,87.273926,-0.5320742187499974,0.5320742187499974,1970 Porsche 917
4.1,12.3,119.0,190.0,1.14,265.0,0.0,3752.0,10.6,98.493,99.024216,0.5312156982421925,0.5312156982421925,2023 BMW M2 G87
2.8,10.3,138.0,213.0,1.37,244.4,0.0,3391.0,6.8,89.947,90.477234,0.5302338867187473,0.5302338867187473,2018 Porsche 911 GT2 RS 991
3.5,11.1,136.0,221.0,1.19,265.0,0.0,3594.0,6.3,94.436,93.9076,-0.5283995971679758,0.5283995971679758,2012 Aston Martin One-77
2.8,10.5,136.0,210.0,1.47,247.9,2.0,3823.0,7.1,90.388,90.91535,0.527351867675776,0.527351867675776,2014 Lamborghini Veneno Roadster
2.9,9.9,151.0,247.0,1.49,240.7,0.0,3171.0,4.6,88.119,87.59418,-0.5248227539062498,0.5248227539062498,2016 Spania GTA Spano
3.5,11.5,124.0,179.0,1.25,253.8,0.0,3842.0,8.3,95.902,95.378426,-0.5235744018554698,0.5235744018554698,2019 Chevrolet Camaro ZL1 1LE
5.3,13.8,104.0,166.0,,,0.0,3780.0,16.7,105.316,104.796135,-0.5198650512695338,0.5198650512695338,2004 Pontiac GTO
5.0,13.4,103.0,157.0,1.09,272.6,2.0,3530.0,18.2,103.187,102.67345,-0.5135533447265601,0.5135533447265601,1995 Nissan Skyline GT-R R33
5.9,14.2,100.0,167.0,1.05,290.5,0.0,3443.0,19.5,106.686,107.17808,0.4920776977538992,0.4920776977538992,2004 Infiniti G35 Coupe
3.9,12.0,125.0,212.0,1.23,249.8,0.0,3333.0,8.9,94.851,95.34098,0.48998052978515716,0.48998052978515716,1993 Jaguar XJ220
3.0,10.8,134.0,215.0,1.35,258.4,0.0,3659.0,6.6,92.056,91.56836,-0.4876406249999974,0.4876406249999974,2019 Chevrolet Corvette C7 ZR1
3.7,11.8,125.0,201.0,1.12,275.0,0.0,4222.0,9.5,98.501,98.98842,0.4874185791015577,0.4874185791015577,2017 Aston Martin DB11 V12
3.5,11.3,129.0,205.0,1.39,250.5,0.0,3384.0,7.8,92.72,92.23676,-0.4832369995117176,0.4832369995117176,2005 Maserati MC12
4.3,12.7,110.0,179.0,1.22,261.6,0.0,3279.0,12.3,100.114,99.63384,-0.48015753173828557,0.48015753173828557,2023 Lotus Emira V6
3.9,12.1,119.0,183.0,1.13,268.1,0.0,3645.0,11.1,98.475,98.952545,0.4775451660156307,0.4775451660156307,2016 BMW M4 F82 Competition
3.1,11.2,124.0,192.0,1.2,262.7,2.0,3867.0,8.8,95.384,94.90671,-0.47729223632812534,0.47729223632812534,2017 Acura NSX
3.5,11.5,122.0,204.0,0.96,308.7,2.0,4511.0,10.7,100.40899999999999,100.87863,0.4696315917968832,0.4696315917968832,2014 Mercedes-Benz E63 AMG S W212
2.9,9.8,157.0,234.0,1.75,211.4,0.0,2061.0,4.3,80.40299999999999,80.87168,0.46868121337891466,0.46868121337891466,1996 Ferrari F50 GT
3.6,11.9,118.0,199.0,1.17,272.7,2.0,3500.0,11.2,96.625,97.09348,0.46848297119140625,0.46848297119140625,1987 Porsche 959
2.9,11.0,125.0,200.0,1.17,260.2,2.0,3916.0,9.6,95.67099999999999,96.13202,0.46101904296875773,0.46101904296875773,2017 Nissan GTR R35
6.3,14.4,97.0,128.0,0.94,315.1,0.0,3356.0,17.9,111.801,111.34067,-0.46033227539062693,0.46033227539062693,1971 AMC Javelin AMX
2.7,10.0,147.0,234.0,1.53,234.2,0.0,3287.0,5.0,86.444,86.902756,0.4587557373046849,0.4587557373046849,2014 McLaren P1
3.6,11.7,124.0,201.0,1.09,282.6,0.0,4129.0,8.7,99.50800000000001,99.05197,-0.4560285644531348,0.4560285644531348,2016 Cadillac CTS-V
3.5,11.5,128.0,216.0,,,0.0,3439.0,7.6,96.16499999999999,95.711426,-0.45357421874999204,0.45357421874999204,2009 Mercedes-Benz SLR McLaren Stirling Moss
2.9,10.7,132.0,208.0,1.26,261.2,0.0,3412.0,6.9,92.673,93.125275,0.4522746582031232,0.4522746582031232,2016 Ferrari 488 GTB
2.8,10.4,141.0,213.0,1.41,237.3,0.0,3308.0,6.1,90.494,90.045456,-0.4485440673828123,0.4485440673828123,2019 Ferrari 488 Pista
3.2,11.3,127.0,221.0,1.17,264.7,2.0,3823.0,9.3,97.14099999999999,96.69251,-0.4484874877929599,0.4484874877929599,1995 Bugatti EB110 SS
3.8,11.9,117.0,193.0,1.14,295.0,0.0,3931.0,11.1,100.352,100.79845,0.44644665527343363,0.44644665527343363,2010 Ferrari California
5.5,13.9,103.0,162.0,1.11,271.7,1.0,3128.0,17.4,104.87100000000001,104.43,-0.4409996948242281,0.4409996948242281,2018 Renault Megane R.S. 300 Trophy
3.8,12.1,120.0,193.0,1.13,272.1,0.0,4063.0,10.9,99.907,99.4687,-0.4383034057617152,0.4383034057617152,2017 Mercedes-Benz C63 AMG S Coupe W205
3.3,11.3,128.0,208.0,,,0.0,3893.0,8.3,95.981,96.41757,0.43657202148438046,0.43657202148438046,2007 Ferrari 599 GTB
6.7,15.0,93.0,121.0,0.94,327.9,0.0,3544.0,21.4,110.803,111.23513,0.4321303100585965,0.4321303100585965,1970 Mercury Cougar Eliminator
3.2,11.3,124.0,180.0,1.38,245.0,0.0,2161.0,9.0,90.356,90.78486,0.4288587036132867,0.4288587036132867,2017 Lotus 3-Eleven
3.6,11.3,139.0,229.0,2.12,187.3,0.0,2071.0,4.9,78.782,78.354805,-0.4271950073242152,0.4271950073242152,1999 Ferrari 333 SP
3.4,11.4,127.0,198.0,1.3,257.9,0.0,3095.0,8.9,94.075,93.65188,-0.4231216430664091,0.4231216430664091,2008 Ferrari 430 Scuderia
3.1,11.1,128.0,194.0,1.4,245.8,0.0,3274.0,8.7,91.628,92.04861,0.42060687255859364,0.42060687255859364,2019 Porsche 911 GT3 RS 991.2
3.3,11.2,126.0,190.0,1.35,247.1,0.0,3558.0,7.4,92.929,92.51247,-0.41653356933593955,0.41653356933593955,2016 Chevrolet Corvette C7 Z06
4.8,13.3,106.0,175.0,1.1,304.5,0.0,3461.0,15.8,103.137,103.549194,0.41219433593749955,0.41219433593749955,2005 BMW M3 E46 ZCP
2.8,10.4,134.0,217.0,1.35,256.5,2.0,3938.0,6.9,90.633,91.0404,0.4073976440429732,0.4073976440429732,2017 Lamborghini Centenario
5.3,14.0,98.0,142.0,,,0.0,3071.0,20.0,107.304,106.897575,-0.4064246215820333,0.4064246215820333,2007 Saturn Sky Red Line
6.0,14.6,94.0,137.0,1.08,292.4,0.0,2324.0,33.1,107.777,108.180984,0.4039844970703115,0.4039844970703115,2016 Mazda MX-5 Miata ND
2.9,10.9,133.0,204.0,1.18,264.2,0.0,3410.0,7.4,93.939,94.340675,0.4016753540039133,0.4016753540039133,2020 McLaren GT
2.7,10.6,135.0,239.0,1.3,243.9,2.0,4171.0,6.4,90.971,90.570244,-0.4007561645507849,0.4007561645507849,2021 Lamborghini Sian
4.0,12.3,117.0,191.0,1.07,305.0,0.0,4249.0,10.8,101.90100000000001,101.502304,-0.39869592285157296,0.39869592285157296,2011 Cadillac CTS-V Coupe
3.4,11.5,128.0,206.0,1.25,255.2,0.0,3355.0,7.8,94.399,94.00377,-0.3952310791015634,0.3952310791015634,2015 Dodge Viper SRT
2.5,10.4,131.0,163.0,1.14,265.2,2.0,5129.0,7.7,93.85300000000001,94.24477,0.39176623535155386,0.39176623535155386,2020 Porsche Taycan Turbo S
4.6,12.7,114.0,185.0,1.15,277.0,0.0,3285.0,12.2,99.852,99.4626,-0.38939929199219137,0.38939929199219137,1987 Lamborghini Countach LP5000 QV
3.7,11.6,125.0,209.0,1.12,268.3,0.0,4143.0,8.3,98.19200000000001,97.80596,-0.3860383911132885,0.3860383911132885,2022 Cadillac CT5-V Blackwing
1.9,8.5,170.0,258.0,1.26,249.7,2.0,5071.0,3.5,89.18299999999999,88.79698,-0.3860181884765552,0.3860181884765552,2023 Rimac Nevera
4.3,12.9,107.0,160.0,1.16,270.1,0.0,2437.0,17.0,102.60300000000001,102.22015,-0.38284619140625864,0.38284619140625864,2015 Alfa Romeo 4C
2.4,9.4,154.0,277.0,1.32,248.9,2.0,4586.0,4.5,88.31700000000001,87.942245,-0.3747545166015698,0.3747545166015698,2018 Bugatti Chiron
8.3,16.0,86.0,126.0,0.76,446.6,0.0,3489.0,46.2,123.056,122.683334,-0.3726656494140599,0.3726656494140599,1987 Chevrolet Monte Carlo SS
3.8,12.0,122.0,205.0,1.15,273.3,0.0,3678.0,9.0,97.34,97.71087,0.37086883544921534,0.37086883544921534,2015 Aston Martin V12 Vantage S
2.9,11.0,126.0,203.0,1.13,263.0,2.0,4246.0,8.9,95.924,95.57029,-0.35371038818360034,0.35371038818360034,2019 BMW M5 F90 Competition
5.8,13.8,104.0,163.0,1.1,272.7,1.0,3255.0,18.1,104.762,105.11482,0.35282238769531205,0.35282238769531205,2009 Ford Focus RS MK II
6.7,15.2,94.0,145.0,0.92,362.3,1.0,2778.0,,115.263,114.914,-0.34899853515625523,0.34899853515625523,2002 Acura RSX Type S
2.8,10.2,145.0,216.0,1.36,245.7,0.0,3161.0,5.5,88.962,89.30936,0.3473566894531217,0.3473566894531217,2018 McLaren 720S
4.8,13.3,108.0,182.0,1.04,285.8,0.0,3995.0,15.1,104.012,104.352875,0.34087475585937455,0.34087475585937455,2003 BMW M5 E39
7.9,15.5,90.0,118.0,0.82,381.4,0.0,3492.0,21.0,111.455,111.79439,0.3393878173828142,0.3393878173828142,1969 Chevrolet Camaro SS
2.8,9.7,152.0,254.0,2.32,191.0,0.0,2160.0,4.4,77.056,77.38676,0.33075689697265886,0.33075689697265886,1989 Mercedes-Benz Sauber C9
7.2,15.5,94.0,144.0,0.96,324.2,0.0,2815.0,23.2,111.979,111.652664,-0.3263358154296867,0.3263358154296867,1958 Ferrari 250 GT LWB California Spyder
6.6,14.6,97.0,123.0,0.93,330.2,0.0,3735.0,16.7,111.997,111.670746,-0.3262541503906249,0.3262541503906249,1969 Pontiac GTO
2.6,10.1,139.0,221.0,1.35,242.3,2.0,2389.0,6.3,89.369,89.69208,0.3230776367187502,0.3230776367187502,2011 Lamborghini Sesto Elemento
3.7,11.3,130.0,193.0,1.49,240.6,0.0,2755.0,7.7,91.282,91.60187,0.3198676757812535,0.3198676757812535,1996 Porsche 911 GT1 Strassenversion
4.4,13.1,109.0,181.0,1.08,273.7,2.0,4123.0,14.1,102.654,102.33811,-0.3158881225585901,0.3158881225585901,2018 Maserati Ghibli S Q4 GranSport
2.8,9.6,163.0,220.0,2.36,192.3,0.0,1995.0,4.2,76.28,76.59252,0.3125216674804676,0.3125216674804676,1991 Mazda 787B
2.7,10.6,135.0,217.0,1.4,237.6,2.0,3992.0,6.8,89.503,89.8107,0.3076994628906249,0.3076994628906249,2019 Lamborghini Aventador SVJ
3.8,10.9,144.0,205.0,2.13,193.5,0.0,1519.0,4.6,83.685,83.38504,-0.2999597167968773,0.2999597167968773,2007 Caparo T1
3.1,11.4,120.0,190.0,1.09,301.4,2.0,4998.0,11.2,99.806,99.50688,-0.2991182861328099,0.2991182861328099,2021 Audi RS6
6.3,14.6,94.0,130.0,1.05,298.2,0.0,3394.0,23.1,108.163,108.45119,0.2881871337890658,0.2881871337890658,1987 Chevrolet Camaro IROC-Z Coupe
5.4,14.1,102.0,123.0,0.74,459.9,0.0,3624.0,16.7,112.388,112.099815,-0.2881846313476615,0.2881846313476615,1967 Pontiac GTO
3.9,12.1,122.0,199.0,1.11,271.0,0.0,4253.0,10.2,98.8,99.08709,0.2870895385742216,0.2870895385742216,2013 BMW M6 F13 Coupe
5.8,14.4,99.0,120.0,0.93,328.8,0.0,3549.0,18.9,111.199,111.48579,0.2867864379882832,0.2867864379882832,1968 Pontiac Firebird
3.0,10.8,135.0,210.0,1.14,255.0,0.0,3210.0,6.9,94.235,94.51489,0.27989257812500057,0.27989257812500057,2012 McLaren MP4-12C w/MK2 Upgrade
4.7,13.2,111.0,180.0,1.1,277.9,0.0,4370.0,12.8,102.92099999999999,102.64252,-0.27848291015624227,0.27848291015624227,2018 Lexus LC500
4.3,12.7,112.0,183.0,1.13,265.9,2.0,3379.0,12.5,99.191,99.46791,0.27691076660156,0.27691076660156,2014 BMW i8
2.9,10.6,132.0,205.0,1.26,262.8,2.0,3422.0,7.9,92.571,92.84507,0.2740698852539083,0.2740698852539083,2015 Lamborghini Huracan LP610-4
4.9,13.4,102.0,156.0,1.12,269.4,2.0,2857.0,16.8,102.42099999999999,102.14716,-0.273836608886711,0.273836608886711,1998 Subaru WRX STi 22B
4.7,12.9,108.0,170.0,1.09,295.0,0.0,3549.0,15.1,102.70400000000001,102.97469,0.270693298339836,0.270693298339836,2011 BMW Z4 sDrive35is E89
6.1,13.4,106.0,142.0,0.76,436.3,0.0,3821.0,,112.59100000000001,112.3232,-0.2678035888671957,0.2678035888671957,1970 Chevrolet El Camino SS 454
5.8,14.6,94.0,143.0,1.1,291.2,1.0,2198.0,31.0,111.424,111.15892,-0.2650797119140691,0.2650797119140691,2016 Fiat 695 Abarth Biposto
3.6,10.3,161.0,202.0,2.23,195.3,0.0,2436.0,5.4,80.27,80.534966,0.26496551513672273,0.26496551513672273,2023 Cadillac V-Series.R
4.2,12.0,128.0,215.0,1.36,242.1,0.0,2682.0,9.2,94.015,94.27977,0.26476989746093693,0.26476989746093693,1966 Ford GT40 MK II
2.9,10.7,134.0,204.0,1.13,265.0,0.0,3189.0,7.3,95.299,95.03501,-0.26398870849610034,0.26398870849610034,2016 McLaren 570s
3.0,11.2,124.0,201.0,1.09,272.6,2.0,4583.0,9.9,97.72800000000001,97.464516,-0.2634843139648524,0.2634843139648524,2018 Mercedes-Benz E63 AMG S W213
2.9,10.5,138.0,205.0,1.27,250.5,0.0,3148.0,6.5,91.72200000000001,91.98515,0.2631531982421791,0.2631531982421791,2015 McLaren 650S Coupe
3.0,11.0,126.0,205.0,1.13,264.0,2.0,4202.0,8.7,95.511,95.77329,0.26229254150391057,0.26229254150391057,2020 BMW M8 F92 Competition Coupe
2.9,11.0,131.0,171.0,1.34,255.3,0.0,1532.0,7.8,92.799,92.54162,-0.25738165283203784,0.25738165283203784,2014 Donkervoort D8 GTO
2.9,10.1,146.0,229.0,1.72,208.3,0.0,2303.0,5.5,83.587,83.33154,-0.2554570312500033,0.2554570312500033,1989 Ferrari F40 Competizione/LM
,,,,1.18,268.9,,,7.5,95.97999999999999,96.23447,0.25446655273438523,0.25446655273438523,2024 TVR Griffith
6.3,14.5,96.0,148.0,1.05,291.4,0.0,3061.0,22.7,108.84100000000001,108.58926,-0.25174371337891444,0.25174371337891444,2010 Mazda RX-8 R3
2.7,10.6,150.0,150.0,1.12,300.8,0.0,1437.0,4.3,95.594,95.35426,-0.2397366943359316,0.2397366943359316,2008 Caterham RST-V8 Levante
3.4,11.7,130.0,211.0,1.74,245.0,0.0,2490.0,7.2,90.529,90.2901,-0.23889990234374636,0.23889990234374636,2009 Mosler MT900s
4.0,12.3,116.0,201.0,1.19,275.0,0.0,3945.0,10.2,98.465,98.699036,0.2340356445312466,0.2340356445312466,2014 Aston Martin Vanquish
2.4,9.9,146.0,219.0,1.31,247.7,2.0,4323.0,5.6,89.85,90.08265,0.23264923095703693,0.23264923095703693,2024 Lamborghini Revuelto
3.5,11.5,126.0,198.0,1.15,269.3,0.0,4064.0,9.5,97.838,98.06645,0.22845202636719364,0.22845202636719364,2015 Ferrari California T
3.6,11.7,123.0,195.0,1.23,267.4,0.0,3494.0,9.7,96.82300000000001,97.05088,0.22788043212889875,0.22788043212889875,2019 Aston Martin Vantage
5.8,14.2,101.0,137.0,0.92,334.5,0.0,3590.0,17.4,111.244,111.01682,-0.22717718505859352,0.22717718505859352,1970 Chevrolet Camaro Z28
3.3,10.6,149.0,220.0,2.21,191.5,0.0,2166.0,5.1,79.367,79.58859,0.22159252929687057,0.22159252929687057,2001 Bentley Speed 8
3.0,10.8,133.0,217.0,1.38,243.0,0.0,3354.0,7.0,90.68299999999999,90.90246,0.21945819091797603,0.21945819091797603,2017 Ford GT
3.2,10.9,133.0,225.0,1.39,256.3,0.0,2877.0,6.2,91.685,91.472275,-0.21272521972656477,0.21272521972656477,2015 Noble M600 Speedster
3.0,10.5,138.0,220.0,1.23,255.3,0.0,3442.0,6.6,92.13499999999999,92.345505,0.2105047607421966,0.2105047607421966,2023 McLaren Artura
6.6,15.1,92.0,142.0,1.07,287.0,0.0,2549.0,33.0,110.122,109.91198,-0.21002032470703114,0.21002032470703114,2018 Fiat Abarth 124 GT
2.9,9.9,152.0,216.0,2.31,184.0,0.0,2131.0,5.4,78.144,78.34877,0.20477014160155704,0.20477014160155704,1999 BMW V12 LMR
2.6,9.9,145.0,209.0,1.96,194.8,0.0,3190.0,5.4,80.886,81.08886,0.20285955810547307,0.20285955810547307,2020 Lamborghini Essenza SCV12
,,,,0.91,353.9,,,22.8,108.749,108.54872,-0.20027868652343273,0.20027868652343273,2004 Volkswagen Golf R32 MK4
3.1,9.9,172.0,255.0,1.51,245.0,0.0,3572.0,4.0,87.884,87.69011,-0.19389074707031284,0.19389074707031284,2018 Koenigsegg Regera
2.9,10.5,145.0,232.0,1.23,256.6,0.0,3516.0,5.8,91.618,91.81159,0.19359210205078625,0.19359210205078625,2021 Ferrari Monza SP2
3.1,10.2,145.0,245.0,1.24,265.0,0.0,2980.0,5.5,92.13300000000001,91.9413,-0.19170056152344728,0.19170056152344728,2008 Koenigsegg CCX
2.6,9.7,171.0,261.0,1.5,,2.0,2337.0,3.2,85.399,85.20825,-0.1907480468750009,0.1907480468750009,2023 Hyundai Genesis X Gran Berlinetta VGT
2.6,9.9,148.0,231.0,1.52,241.1,0.0,3495.0,5.0,88.261,88.071846,-0.18915399169921443,0.18915399169921443,2015 Ferrari LaFerrari
3.2,11.2,127.0,203.0,1.24,258.5,2.0,3391.0,8.6,94.084,93.89696,-0.18704260253906568,0.18704260253906568,2011 Lamborghini Gallardo LP570-4 Superleggera
4.1,12.1,125.0,199.0,1.3,252.1,0.0,3018.0,8.6,94.61,94.79582,0.18582214355468807,0.18582214355468807,1992 Ferrari F40
3.3,11.2,131.0,208.0,1.22,257.1,0.0,3364.0,7.6,94.36,94.54332,0.18331970214843807,0.18331970214843807,2009 Chevrolet Corvette C6 ZR1
6.2,14.9,94.0,150.0,0.88,383.5,0.0,2710.0,27.1,113.39500000000001,113.217354,-0.17764617919922898,0.17764617919922898,1984 Lotus Esprit Turbo S3
2.9,8.9,180.0,340.0,1.66,220.1,0.0,3064.0,3.4,84.339,84.173035,-0.16596533203124864,0.16596533203124864,2024 Koenigsegg Jesko Absolut
2.9,10.3,147.0,208.0,1.63,232.0,0.0,3022.0,5.4,86.457,86.293625,-0.16337512207030613,0.16337512207030613,2019 McLaren Senna
7.2,15.7,89.0,136.0,,,1.0,3082.0,29.8,114.01400000000001,113.85774,-0.1562576904296975,0.1562576904296975,2014 Scion TC
4.2,12.6,113.0,183.0,1.01,359.5,0.0,5359.0,11.9,105.255,105.099915,-0.15508544921874545,0.15508544921874545,2015 Rolls-Royce Wraith
4.0,12.1,118.0,200.0,1.15,278.2,0.0,3770.0,10.3,98.737,98.89091,0.15390728759766148,0.15390728759766148,2012 Mercedes-Benz C63 AMG Black Series W204
2.7,10.3,146.0,196.0,2.2,190.5,2.0,3856.0,5.1,79.828,79.98098,0.1529799194335908,0.1529799194335908,2018 Nio EP9
4.5,13.0,110.0,171.0,1.09,280.4,0.0,3339.0,15.2,102.437,102.58986,0.1528590087890649,0.1528590087890649,2011 BMW 1M Coupe
3.9,12.0,118.0,184.0,1.17,285.0,0.0,4051.0,10.0,98.721,98.57134,-0.1496575317382849,0.1496575317382849,2013 Chevrolet Camaro ZL1
6.7,15.3,93.0,159.0,1.0,299.1,1.0,2634.0,25.1,110.794,110.94273,0.14873376464844057,0.14873376464844057,2001 Acura Integra Type R
3.7,11.8,125.0,203.0,0.94,297.0,0.0,4472.0,9.0,101.725,101.87134,0.14633789062500568,0.14633789062500568,2015 Dodge Challenger Hellcat
4.5,12.7,110.0,179.0,1.13,272.4,0.0,3038.0,13.0,100.588,100.73353,0.1455281372070374,0.1455281372070374,1999 Lotus Esprit V8
2.1,9.6,152.0,230.0,1.61,222.8,2.0,3737.0,5.2,83.924,84.06626,0.14226129150389966,0.14226129150389966,2022 Mercedes-Benz AMG One
2.7,9.6,156.0,238.0,1.77,211.5,0.0,2458.0,4.1,81.119,81.26072,0.14171929931640648,0.14171929931640648,2022 Pagani Huayra R
6.5,14.7,96.0,132.0,0.91,328.3,0.0,3929.0,18.9,110.968,111.10806,0.14006274414062148,0.14006274414062148,1971 Plymouth GTX
6.5,14.2,100.0,147.0,0.88,392.9,0.0,2161.0,21.3,112.56700000000001,112.42804,-0.13896044921875728,0.13896044921875728,1974 Lancia Stratos HF Stradale
3.9,12.3,116.0,184.0,1.14,277.5,0.0,3535.0,11.9,99.061,99.19468,0.1336792602538992,0.1336792602538992,2020 BMW Z4 M40i G29
4.7,13.3,103.0,170.0,1.14,268.4,2.0,3283.0,20.2,104.638,104.50451,-0.13349102783203648,0.13349102783203648,2005 Mitsubishi Lancer Evolution VIII MR
5.2,13.9,100.0,165.0,1.06,284.7,0.0,2821.0,17.1,103.293,103.42051,0.12750933837889988,0.12750933837889988,1993 Mazda RX-7 FD
3.3,11.3,125.0,190.0,1.06,276.9,2.0,4497.0,10.3,99.339,99.212006,-0.12699438476562364,0.12699438476562364,2017 Audi RS7 Performance
2.5,10.0,150.0,226.0,1.67,216.4,0.0,3178.0,4.5,83.269,83.14247,-0.12652868652344296,0.12652868652344296,2015 McLaren P1 GTR
4.7,13.0,110.0,183.0,1.13,277.1,0.0,3268.0,12.8,101.30799999999999,101.18318,-0.12481823730468022,0.12481823730468022,1998 Ferrari F355 Berlinetta
8.9,16.7,83.0,121.0,1.01,299.5,0.0,2210.0,49.1,116.211,116.08644,-0.12455895996093602,0.12455895996093602,1990 Mazda MX-5 Miata NA
,,,241.0,1.35,235.0,0.0,,4.0,85.494,85.61803,0.12402673339843773,0.12402673339843773,2000 TVR Cerbera Speed 12
3.5,11.6,126.0,201.0,0.99,295.0,0.0,3871.0,7.2,100.41499999999999,100.531944,0.11694427490235171,0.11694427490235171,2014 Ford Mustang Shelby GT500
3.7,,,186.0,1.1,285.0,0.0,2562.0,9.5,99.47399999999999,99.3576,-0.11640264892577079,0.11640264892577079,2005 TVR Sagaris
3.3,11.3,126.0,198.0,1.32,252.8,0.0,3199.0,8.7,92.937,93.05322,0.11622265625000239,0.11622265625000239,2023 Porsche Cayman GT4 RS
5.3,13.8,103.0,167.0,,,0.0,3561.0,15.8,104.193,104.305916,0.11291583251953341,0.11291583251953341,2013 Hyundai Genesis Coupe 3.8
,,,218.0,1.38,233.4,2.0,4160.0,3.6,84.89,85.001526,0.11152587890624943,0.11152587890624943,2021 Lotus Evija
4.8,13.5,103.0,166.0,1.09,274.4,2.0,3394.0,18.1,103.595,103.48401,-0.11099121093749886,0.11099121093749886,2015 Subaru WRX STi Limited
3.4,11.7,118.0,188.0,1.12,270.7,2.0,3297.0,11.5,98.303,98.19315,-0.10984661865234102,0.10984661865234102,2018 Audi TT RS
6.7,15.1,94.0,127.0,0.93,344.6,0.0,3520.0,20.9,111.426,111.53565,0.10965216064452932,0.10965216064452932,1970 Plymouth Cuda 340
7.9,16.0,87.0,146.0,0.99,303.0,0.0,2770.0,26.1,113.84700000000001,113.73766,-0.10933673095703966,0.10933673095703966,1972 Ferrari Dino 246 GT
4.3,12.7,113.0,181.0,1.11,281.3,0.0,3552.0,12.4,101.69,101.79738,0.10737854003906477,0.10737854003906477,2013 BMW M3 E92 ZCP
3.2,11.0,134.0,216.0,1.48,244.8,0.0,3263.0,6.9,91.19800000000001,91.0933,-0.10470013427735125,0.10470013427735125,2003 Ferrari Enzo
3.0,11.1,130.0,206.0,1.29,255.8,0.0,3325.0,8.0,92.643,92.74696,0.10396350097656182,0.10396350097656182,2010 Ferrari 458 Italia
4.3,12.5,116.0,200.0,1.11,305.0,0.0,4118.0,11.3,101.327,101.2232,-0.10380206298827943,0.10380206298827943,2005 Ferrari 612 Scaglietti
4.8,13.2,102.0,161.0,1.04,281.9,2.0,3259.0,17.9,104.218,104.12015,-0.09785229492187852,0.09785229492187852,"2004 Subaru Impreza WRX Sti ""Blobeye"""
2.8,10.6,134.0,217.0,1.21,265.0,2.0,4085.0,7.5,94.328,94.2331,-0.0948991088867217,0.0948991088867217,2012 Lamborghini Aventador
6.9,14.9,93.0,126.0,0.96,,0.0,3005.0,23.2,111.441,111.35811,-0.08289147949219,0.08289147949219,1969 De Tomaso Mangusta
3.8,11.7,125.0,205.0,1.18,266.0,0.0,4345.0,8.5,97.181,97.098274,-0.08272576904296614,0.08272576904296614,2009 Mercedes-Benz SL65 AMG Black Series
4.9,13.0,105.0,172.0,0.99,328.1,0.0,3309.0,15.9,105.856,105.93814,0.08214086914063046,0.08214086914063046,2008 BMW Z4 M Coupe E86
2.6,9.5,155.0,245.0,2.47,190.7,0.0,2250.0,4.1,76.348,76.42953,0.08152728271484477,0.08152728271484477,1988 Jaguar XJR-9
3.5,11.1,141.0,220.0,1.37,247.4,0.0,2601.0,7.2,91.946,91.8691,-0.0768975219726542,0.0768975219726542,1998 Nissan R390
5.5,14.1,99.0,150.0,1.09,282.9,0.0,2840.0,20.2,106.007,106.083725,0.0767249755859325,0.0767249755859325,2005 Honda S2000 AP2
3.3,11.4,122.0,190.0,1.08,289.5,2.0,4947.0,11.0,99.956,100.031944,0.07594427490234068,0.07594427490234068,2021 Audi RS7
3.3,11.2,133.0,218.0,,,0.0,3144.0,7.3,95.256,95.18178,-0.07422204589843773,0.07422204589843773,2009 Bertone Mantide
3.6,11.2,131.0,210.0,1.41,237.3,0.0,3252.0,7.9,91.66,91.586555,-0.07344451904296534,0.07344451904296534,2000 Lamborghini Diablo GTR
2.4,9.3,156.0,261.0,1.35,246.7,2.0,4506.0,4.6,87.875,87.80169,-0.07331085205078125,0.07331085205078125,2021 Bugatti Divo
5.8,14.3,99.0,137.0,0.92,345.2,0.0,3799.0,18.7,112.352,112.28062,-0.07138323974609762,0.07138323974609762,1970 Chevrolet Chevelle SS-454
9.0,16.9,83.0,127.0,0.76,437.2,0.0,3830.0,41.5,117.17,117.2408,0.0707989501953108,0.0707989501953108,1978 Pontiac Firebird Trans Am
3.3,11.5,122.0,210.0,1.07,276.3,2.0,5027.0,9.5,99.49199999999999,99.42536,-0.06663836669920897,0.06663836669920897,2017 Bentley Continental Supersports
4.1,12.2,117.0,188.0,1.25,262.7,0.0,3053.0,11.0,97.644,97.71047,0.06647210693358829,0.06647210693358829,2004 Ferrari 360 Challenge Stradale
5.0,13.6,100.0,157.0,1.14,266.9,2.0,3658.0,20.3,105.56700000000001,105.50086,-0.06613787841797603,0.06613787841797603,2014 Mitsubishi Lancer Evolution X MR
3.0,11.1,125.0,198.0,1.09,270.8,2.0,4674.0,9.7,97.52600000000001,97.464516,-0.06148431396485421,0.06148431396485421,2019 Mercedes-Benz AMG GT63s
3.1,9.6,165.0,254.0,1.67,215.0,0.0,2986.0,3.8,82.09700000000001,82.154366,0.05736553955077284,0.05736553955077284,2022 Aston Martin Valkyrie
