0-60 (s),1/4 Mile ET (s),Trap Speed (mph),60-130 (s),Lateral G @ 120 mph,100-0 Braking (ft),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error
5.5,13.9,103.0,17.4,1.11,271.7,104.87100000000001,102.57284,-2.2981621704101656,2.2981621704101656
7.1,15.1,95.0,21.2,1.12,277.9,108.205,105.93818,-2.266820983886717,2.266820983886717
3.1,11.4,120.0,11.2,1.09,301.4,99.806,102.072624,2.2666242065429714,2.2666242065429714
6.3,14.4,98.0,21.1,1.01,288.9,109.547,107.29018,-2.2568236083984345,2.2568236083984345
5.3,14.0,98.0,20.0,,,107.304,105.107185,-2.196814636230471,2.196814636230471
3.9,12.1,120.0,10.4,1.16,261.2,99.32300000000001,97.1301,-2.1929035644531325,2.1929035644531325
3.6,11.6,125.0,9.0,1.18,281.4,95.51599999999999,97.70789,2.19189337158204,2.19189337158204
5.8,13.8,104.0,18.1,1.1,272.7,104.762,102.57284,-2.1891621704101567,2.1891621704101567
5.8,14.6,94.0,31.0,1.1,291.2,111.424,109.23726,-2.186741088867194,2.186741088867194
4.6,13.0,109.0,14.3,1.05,343.0,104.116,106.302,2.1860019531250003,2.1860019531250003
2.7,10.4,133.0,7.4,1.34,257.9,90.346,92.52326,2.1772620239257776,2.1772620239257776
9.6,16.7,87.0,37.1,0.91,344.2,119.25800000000001,117.08928,-2.1687208251953223,2.1687208251953223
3.7,12.0,115.0,11.9,1.11,296.5,98.539,100.69896,2.159959350585936,2.159959350585936
6.3,14.6,94.0,23.1,1.05,298.2,108.163,110.30125,2.1382466430664095,2.1382466430664095
7.9,15.5,90.0,21.0,0.82,381.4,111.455,113.57435,2.119348449707033,2.119348449707033
3.4,11.2,132.0,7.2,1.26,253.8,94.868,92.76134,-2.1066627197265575,2.1066627197265575
4.2,12.5,115.0,10.4,,,96.357,98.46096,2.1039603881835944,2.1039603881835944
2.8,9.7,149.0,4.8,1.5,219.2,87.806,85.72961,-2.0763933715820286,2.0763933715820286
8.1,15.5,92.0,26.8,0.94,332.8,115.307,113.29224,-2.014763671875002,2.014763671875002
3.6,11.7,127.0,7.0,1.21,260.4,96.963,94.95586,-2.0071436767578064,2.0071436767578064
3.3,11.0,132.0,7.4,,,96.681,94.69431,-1.9866869506835911,1.9866869506835911
3.7,11.9,125.0,9.0,1.32,253.3,96.523,94.54805,-1.9749500732421836,1.9749500732421836
3.8,10.9,144.0,4.6,2.13,193.5,83.685,81.72911,-1.9558892822265648,1.9558892822265648
2.9,10.7,134.0,7.3,1.13,265.0,95.299,93.34609,-1.9529077758789128,1.9529077758789128
4.7,13.2,111.0,12.8,1.1,277.9,102.92099999999999,100.98161,-1.9393868408203048,1.9393868408203048
4.5,13.1,111.0,13.3,0.97,317.9,103.82300000000001,105.73914,1.9161433715820237,1.9161433715820237
2.7,10.0,147.0,5.0,1.53,234.2,86.444,88.35584,1.9118425903320286,1.9118425903320286
3.5,11.1,141.0,7.2,1.37,247.4,91.946,90.04099,-1.9050072631835917,1.9050072631835917
3.1,11.2,123.0,9.5,1.12,265.4,94.327,96.22702,1.9000202636718768,1.9000202636718768
3.4,11.6,126.0,8.6,1.21,252.7,95.944,94.047714,-1.8962857666015651,1.8962857666015651
2.8,10.4,134.0,6.9,1.35,256.5,90.633,92.52326,1.8902620239257857,1.8902620239257857
4.2,12.5,117.0,11.1,1.17,269.2,100.34899999999999,98.46096,-1.8880396118163958,1.8880396118163958
4.7,13.3,103.0,20.2,1.14,268.4,104.638,102.751884,-1.8861155395507865,1.8861155395507865
3.2,11.3,127.0,9.3,1.17,264.7,97.14099999999999,95.26671,-1.8742916259765536,1.8742916259765536
5.2,13.3,106.0,14.8,1.13,275.0,103.544,101.69696,-1.847039550781247,1.847039550781247
3.6,11.9,118.0,11.2,1.17,272.7,96.625,98.4581,1.833099365234375,1.833099365234375
4.9,13.7,106.0,13.7,0.93,311.1,108.25200000000001,106.44291,-1.8090907592773533,1.8090907592773533
6.7,15.0,93.0,21.4,0.94,327.9,110.803,112.60317,1.8001723022460965,1.8001723022460965
3.1,11.0,127.0,8.6,1.58,237.5,89.919,91.70933,1.7903276977539093,1.7903276977539093
4.8,13.3,106.0,15.8,1.1,304.5,103.137,104.92618,1.7891779785156245,1.7891779785156245
4.1,12.5,113.0,11.5,1.22,281.4,99.226,100.98161,1.7556131591796884,1.7556131591796884
3.5,11.1,136.0,6.3,1.19,265.0,94.436,92.69625,-1.7397490844726633,1.7397490844726633
4.9,12.8,117.0,10.8,1.11,275.6,100.52600000000001,98.79406,-1.7319402465820417,1.7319402465820417
3.1,11.0,132.0,7.1,1.07,265.0,95.386,93.66257,-1.7234328613281207,1.7234328613281207
6.0,14.5,97.0,18.2,1.06,287.5,105.572,107.29018,1.7181763916015598,1.7181763916015598
